,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
67,13.5%,"Central Coast, Central Coast, California, US",750 ml,White, US,3/1/2021,"
                      This uncommon blend of 50% Viognier and 50% Chardonnay works quite well, beginning with aromas of toast and pear flesh as well as grapefruit skin and wet rock. The palate combines apricot and nectarine with sea salt and toasted nuts.                      Matt Kettmann ",,Lindquist Family 2019 Viognier-Chardonnay (Central Coast),$28, California,92, Central Coast,Central Coast,Not rated yet [Add Your Review],"Viognier-Chardonnay, White Blend",2019,Lindquist Family
68,13%,"Italy, Italy Other, Italy",750 ml,White, Italy,3/1/2021,"
                      Made from a blend of vintages (2015, 2016 and 2017) of Trebbiano d'Abruzzo aged in amphora, this rich, textural white offers waves of crisp yellow apple, white plum, lemon peel and chamomile flavors. Integrated acidity and a gentle stony grip lend support. Drink soon for best enjoyment.                      Alexander Peartree ",Amphora 15+16+17 Organic,Francesco Cirelli NV Amphora 15+16+17 Organic White (Italy),$50, Italy Other,92,Italy,,Not rated yet [Add Your Review],White Blend,,Francesco Cirelli
69,13.3%,"Niagara-On-The-Lake, Ontario, Canada",750 ml,White, Canada,3/1/2021,"
                      Here is a well-balanced, five-grape blend in which nothing dominates, and all work together harmoniously. It's a mix of Sauvignon Blanc, Chardonnay and Sémillon, with small percentages of Viognier and Gewürztraminer. Peach, apricot and guava flavors dominate in a full-bodied, almost fleshy wine that seems designed for early consumption.                      Paul Gregutt ",,Stratus 2018 White (Niagara-On-The-Lake),$39, Ontario,91,Niagara-On-The-Lake,,Not rated yet [Add Your Review],White Blend,2018,Stratus
70,13%,"Central Coast, Central Coast, California, US",750 ml,White, US,3/1/2021,"
                      This unique, twist-top blend of 80% Grüner Veltliner and 20% Riesling is Graham Tatomer's white table wine, and it begins with aromas of dried lime peels and rocky seashore. The palate also shows dried lime and orange peels, as well as unique flashes of white pepper and thyme.                      Matt Kettmann ",Hinter der Mauer,Tatomer 2019 Hinter der Mauer White (Central Coast),$15, California,91, Central Coast,Central Coast,Not rated yet [Add Your Review],White Blend,2019,Tatomer
71,13.5%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/2021,"
                      Though a white wine blending 70% Chardonnay and 30% Pinot Noir may seem surprising, it's really a white Pinot with no color or skin contact that's in the mix, and the match-up is quite successful. Apple, pear, peach and apricot fruit flavors are front and center, and the all-stainless fermentation keeps the fruit fresh and clean. Just a lick of butterscotch adds an interesting note to the finish.                      Paul Gregutt ",White Blend,Panther Creek 2019 White Blend White (Willamette Valley),$30, Oregon,91, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],"Chardonnay-Pinot Noir, White Blend",2019,Panther Creek
72,13%,"Sicilia, Sicily & Sardinia, Italy",750 ml,White, Italy,3/1/2021,"
                      A blend of 80% Grillo and 20% Viognier, this fragrant white opens with heady aromas of white rose, yellow stone fruit and Mediterranean brush. The bright, savory palate doles out ripe yellow peach, grapefruit and lemon drop alongside the barest hint of graphite. Crisp acidity energizes the rich flavors.                      Kerin O’Keefe ",Dalila Riserva,Stemmari 2018 Dalila Riserva White (Sicilia),$15, Sicily & Sardinia,90,Sicilia,,Not rated yet [Add Your Review],White Blend,2018,Stemmari
73,12.5%,"Rías Baixas, Galicia, Spain",750 ml,White, Spain,3/1/2021,"
                      Floral white-fruit aromas are light, smooth and typical of textbook Galician Albariño. The mouthfeel is tight and zesty, with citric acidity and a sense of stony minerality. Tangerine, lime and green apple flavors are acid driven through the finish.                      Michael Schachner ",Rosal,Pazo de Seoane 2019 Rosal White (Rías Baixas),$19, Galicia,89,Rías Baixas,,Not rated yet [Add Your Review],White Blend,2019,Pazo de Seoane
74,14%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/2021,"
                      White Sky is principally Pinot Gris, with Viognier, Pinot Blanc and Chardonnay making up the last 16%. Light straw in color, it's fruity top to bottom, with ripe apple and peach flavors. In the mouth it's granular and appealing, with lovely sweetness to the palate from the ripe fruit.                      Paul Gregutt ","Love, Oregon White Sky","R. Stuart & Co. 2018 Love, Oregon White Sky White (Willamette Valley)",$22, Oregon,88, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],White Blend,2018,R. Stuart & Co.
75,12.5%,"Controguerra, Central Italy, Italy",750 ml,White, Italy,3/1/2021,"
                      Delicate aromas of white peach, lemon peel and melon arise on the nose of this blend of Trebbiano, Passerina and Chardonnay. It's light in feel on the palate, offering lifted orchard fruit flavors that end brisk and clean.                      Alexander Peartree ",Lumeggio,Illuminati 2019 Lumeggio White (Controguerra),$20, Central Italy,88,Controguerra,,Not rated yet [Add Your Review],White Blend,2019,Illuminati
76,12%,"Italy, Italy Other, Italy",750 ml,White, Italy,3/1/2021,"
                      A blend of Trebbiano and Pecorino, this white offers ripe tones of white plum and yellow apple accented by dried chamomile. It's rounded and full in feel, filled out by juicy white fruit flavors that show nice initial intensity but fall short on the finish. Still, it's a pleasing, textural white that is balanced by fresh acidity.                      Alexander Peartree ",Organic,Cirelli la Collina Biologica 2018 Organic White (Italy),N/A, Italy Other,88,Italy,,Not rated yet [Add Your Review],White Blend,2018,Cirelli la Collina Biologica
