,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
36,13.10%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/21,"
                      Brisk aromas of lemon-lime popsicle and red apple carry to the medium-bodied palate. There's tautness to the acidity and texture, holding all that juicy fruit in check, but it ends rather quickly.                      Alexander Peartree ",,Atwater 2018 Pinot Gris (Finger Lakes),$18 , New York,87, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2018,Atwater
37,12%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/21,"
                      There's a slightly candied vibe to the brisk aromas of apple, pear and lemon on the nose. It's light in feel on the palate, with brisk orchard fruit flavors that end a bit short.                      Alexander Peartree ",,Dr. Konstantin Frank 2019 Pinot Gris (Finger Lakes),$17 , New York,86, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2019,Dr. Konstantin Frank
39,12%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/21,"
                      Aromas of candied lemon and lime peels meld with a bit of savory yeast on the nose. It starts off creamy on the light-bodied palate, lifted by brisk flavors of yellow apple and citrus, with sharp acidity and more savoriness arising on the finish.                      Alexander Peartree ",,Glenora 2019 Pinot Gris (Finger Lakes),$15 , New York,85, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Gris,2019,Glenora
40,12.50%,"Long Island, Long Island, New York, US",750 ml,White, US,4/1/21,"
                      There's not a whole lot of fruit intensity to this white, giving just hints of citrus and apple away. Texturally, it shows some roundness that's held in check by taut acidity.                      Alexander Peartree ",Cellar Series,Wölffer 2019 Cellar Series Pinot Gris (Long Island),$24 , New York,84, Long Island,Long Island,Not rated yet [Add Your Review],Pinot Gris,2019,Wölffer
41,13%,"Eola-Amity Hills, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This captivating Pinot Gris takes biodynamic grapes, lets them sit on the skins until a warm copper-rose color is obtained, then ferments and ages them in a mix of amphora, concrete egg and neutral oak. Persimmon, cooked apples and pears, sliced citrus, crushed stone and acidity come into complete harmony on the full-bodied palate.                      Paul Gregutt ",Leisure,Authentique 2018 Leisure Pinot Gris (Eola-Amity Hills),$32 , Oregon,93, Willamette Valley,Eola-Amity Hills,Not rated yet [Add Your Review],Pinot Gris,2018,Authentique
42,12.50%,"Chehalem Mountains, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This succulent and lip-licking style punches up bold, almost fleshy flavors of ripe pear fruit. It's a bright and sassy wine, full bodied and buttressed with lemony acids. The freshness and length are especially noteworthy.                      Paul Gregutt ",,Chehalem 2019 Pinot Gris (Chehalem Mountains),$20 , Oregon,92, Willamette Valley,Chehalem Mountains,Not rated yet [Add Your Review],Pinot Gris,2019,Chehalem
43,13.50%,"Burgenland, Austria",750 ml,White, Austria,3/1/21,"
                      Mellow vanilla, inflected with creamy hazelnut, fills the smooth nose. The same hit of oaky vanilla also fills the palate. The rich, rounded, creamy and velvety texture enhance these notions even more. A lovely core of bright, lemony freshness holds against this. Drink 2021–2031.                      Anne Krebiehl MW ",Reserve,Kracher 2017 Reserve Pinot Gris (Burgenland),N/A,Burgenland,92,,,Not rated yet [Add Your Review],Pinot Gris,2017,Kracher
44,12.50%,"Eola-Amity Hills, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This white is bright and snappy, with well-defined flavors of apple, pear and melon. The fruit intensity and the bright acidity and overall balance are impressive at any price.                      Paul Gregutt ",,Eola Hills 2019 Pinot Gris (Eola-Amity Hills),$14 , Oregon,92, Willamette Valley,Eola-Amity Hills,Not rated yet [Add Your Review],Pinot Gris,2019,Eola Hills
45,13.50%,"North Canterbury, New Zealand",750 ml,White, New Zealand,3/1/21,"
                      This is a full-throttle orange wine from one of the country's top biodynamic producers. Pinot Gris plus a bit of Muscat and Gewürztraminer is left on skins for 40 days. The result is a marmalade-hued wine that jumps from the glass with heady notes of orange peel, cinnamon, cloves and Campari-like bitters. It's pithy and textural on the palate, with a crunch of acidity. Enjoy with gooey cheeses, mushroom risotto, pork chops or a myriad other dishes.                      Christina Pickard ",Orange,Pyramid Valley 2019 Orange Pinot Gris (North Canterbury),$40 ,North Canterbury,91,,,Not rated yet [Add Your Review],Pinot Gris,2019,Pyramid Valley
46,13.50%,"Columbia Gorge (OR), Oregon Other, Oregon, US",750 ml,White, US,3/1/21,"
                      The elegance of wines sourced from this cool-climate AVA is much in evidence here. Refined, almost delicate but perfectly ripe apples, Asian pears and Bartlett pears are the focus. Aging in a mix of stainless steel and concrete egg adds subtle hints of stone. As it opens up in the finish, it brings in apple-pie spices.                      Paul Gregutt ",,Lachini 2019 Pinot Gris (Columbia Gorge (OR)),$26 , Oregon,91, Oregon Other,Columbia Gorge (OR),Not rated yet [Add Your Review],Pinot Gris,2019,Lachini
47,13.50%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This is a serious effort that displays the complexity that this grape can achieve at times in Oregon. Apple, Asian pear and Bartlett pear flavors combine, with a squirt of citrus adding some extra zip. This is a powerful, fruit-driven wine that should age gracefully over the next half decade.                      Paul Gregutt ",,Panther Creek 2019 Pinot Gris (Willamette Valley),$20 , Oregon,91, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Panther Creek
48,12.50%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This is a fruit-driven wine, with fleshy flavors of pear and apple. A thin lick of citrus slices through the core, and some time on the lees adds a bit of creamy texture to the finish. Enjoy through 2022.                      Paul Gregutt ",,Willamette Valley Vineyards 2019 Pinot Gris (Willamette Valley),$17 , Oregon,90, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Willamette Valley Vineyards
49,13.40%,"San Luis Obispo County, Central Coast, California, US",750 ml,White, US,3/1/21,"
                      Sharp aromas of lime and grapefruit peel meet with warmer touches of yellow pear, shiso and makrut lime leaf on the nose of this bottling. There is plenty of texture and grip to the sip, where light yellow-plum and green-melon flavors ride a lingering acidity.                      Matt Kettmann ",Spanish Springs Vineyard,Claiborne & Churchill 2019 Spanish Springs Vineyard Pinot Gris (San Luis Obispo County),$26 , California,90, Central Coast,San Luis Obispo County,Not rated yet [Add Your Review],Pinot Gris,2019,Claiborne & Churchill
50,12.80%,"Chehalem Mountains, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      Spicy pear fruit grabs hold of the palate and hangs on all the way through. It's got a granular, slightly crunchy mouthfeel, and backing acids that bring a splash of grapefruit and lemon. It's a refreshing, solid, tart wine that should be enjoyed over the next couple of years.                      Paul Gregutt ",Estate,Carabella 2019 Estate Pinot Gris (Chehalem Mountains),$18 , Oregon,90, Willamette Valley,Chehalem Mountains,Not rated yet [Add Your Review],Pinot Gris,2019,Carabella
51,13.50%,"Umpqua Valley, Southern Oregon, Oregon, US",750 ml,White, US,3/1/21,"
                      Fermented entirely in stainless, this fresh and vibrant wine sparks to life with a mix of pear and apple, lemon rinds and pink grapefruit. The palate-cleaning mouthfeel leaves a light and delightful impression of wet stone minerality. Enjoy this now through 2022.                      Paul Gregutt ",Prayer Rock Vineyards,Reustle 2018 Prayer Rock Vineyards Pinot Gris (Umpqua Valley),$25 , Oregon,90, Southern Oregon,Umpqua Valley,Not rated yet [Add Your Review],Pinot Gris,2018,Reustle
52,13%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This is left on the skins long enough to turn it a reddish copper, and it has entered orange wine territory. It's soft and slightly oxidized, with strawberry and peach-fruit flavors. There are proportionate tannins, though more than is usual in most Pinot Gris.                      Paul Gregutt ",,Big Table Farm 2019 Pinot Gris (Willamette Valley),$32 , Oregon,90, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Big Table Farm
53,13.10%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This is a solid effort with fully ripened pear and apple fruit, the hallmark of Willamette Valley Pinot Gris. It's framed with skin flavors that set up a hard stop at the midpoint. More bottle age may help to open up the finish.                      Paul Gregutt ",,Westmount 2019 Pinot Gris (Willamette Valley),$25 , Oregon,89, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Westmount
54,13%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This affordable wine is almost effusively fruity, loaded with fleshy pear flavors and noticeable residual sugar. The sweetness rounds out the palate, and the wine has medium concentration through a fresh, clean finish. It would match nicely with a fruit sauce on a pork entrée.                      Paul Gregutt ",,Rainstorm 2018 Pinot Gris (Willamette Valley),$14 , Oregon,89, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2018,Rainstorm
55,13.80%,"Rogue Valley, Southern Oregon, Oregon, US",750 ml,White, US,3/1/21,"
                      This wine is loaded with tart lemon, lime and grapefruit flavors. The sharp acidity is punctuated by skin phenolics, making this a palate-refreshing, fruit-driven wine. It shows potential as a companion to a wide variety of seafood dishes.                      Paul Gregutt ",Estate Grown,Del Rio 2019 Estate Grown Pinot Gris (Rogue Valley),$16 , Oregon,89, Southern Oregon,Rogue Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Del Rio
56,13.80%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,3/1/21,"
                      Aromas of apple, pear and apple skin are followed by broad feeling kiwi and pineapple flavors. It brings plenty of appeal.                      Sean P. Sullivan ",,Nine Hats 2018 Pinot Gris (Columbia Valley (WA)),$14 , Washington,88, Columbia Valley,Columbia Valley (WA),Not rated yet [Add Your Review],Pinot Gris,2018,Nine Hats
60,14.20%,"Chehalem Mountains, Willamette Valley, Oregon, US",750 ml,Rose, US,3/1/21,"
                      This is 100% Pinot Gris, which has imparted a pretty pale-copper hue to the wine, and brings aromas and light suggestions of cantaloup melon and citrus. It's fresh and clean, with flavors that fall lightly across the palate.                      Paul Gregutt ",Estate Rosé of,Archer 2019 Estate Rosé of Pinot Gris (Chehalem Mountains),$36 , Oregon,88, Willamette Valley,Chehalem Mountains,Not rated yet [Add Your Review],Pinot Gris,2019,Archer
61,13.30%,"Eola-Amity Hills, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      As in past vintages, this includes a touch of residual sugar, rounding off the fruit flavors of pear and apple. It's not a big wine, but varietally true and perfectly pleasant. The trailing finish leaves a light impression of powdered sugar.                      Paul Gregutt ",,Lujon 2018 Pinot Gris (Eola-Amity Hills),$14 , Oregon,87, Willamette Valley,Eola-Amity Hills,Not rated yet [Add Your Review],Pinot Gris,2018,Lujon
62,13.20%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,3/1/21,"
                      This soft and approachable young wine has pretty fruit flavors of lemon curd and Bosc pear. Delicately balanced against gentle acids, it's a light and simple wine but perfectly suitable for salmon or light poultry.                      Paul Gregutt ",,Cedar + Salmon 2019 Pinot Gris (Willamette Valley),$19 , Oregon,87, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Cedar + Salmon
