,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
344,14%,"Primitivo di Manduria, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Bright, easy aromas of cherry coulis and blackberry jam form the nose, alongside integrated tones of violet and peppery spice. Medium in weight, the palate is smooth and juicy in rich cherry and berry flavors, with an accent of tar and spice. The tannins are mellowed and polished, while the acidity lively and bright. It's not very complex, or intense, but is still quite enjoyable and balanced.                      Alexander Peartree ",,Verso 2019  Primitivo di Manduria,$30, Southern Italy,87,Primitivo di Manduria,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2019,Verso
345,15%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Bright aromas of cherry, berry and bubblegum spices carry lots of intensity on the nose. This is full and fruity on the palate, showing a supple, juicy mouthfeel of cherry and berry flavors. It doesn't offer much else, but is a well-balanced, tasty offering.                      Alexander Peartree ",,Danti 2017 Primitivo (Puglia),$28, Southern Italy,86,Puglia,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Danti
346,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Very lively aromas of cherry and bubblegum spice carry the nose, while the palate is equally fruit driven. Gentle tannins give a frame to the soft cherry-laden body, with juicy acidity and orange spice tones lifting it all up.                      Alexander Peartree ",Il Bruno di Vespa,Vespa 2019 Il Bruno di Vespa Primitivo (Salento),$20, Southern Italy,86,Salento,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2019,Vespa
347,14.5%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      This full, fleshy red is built by strong seams of cocoa and anise alongside a rich dark-berry jam core. Polished tannins and lifted acidity lend ample structure, but the warm spice dominate the fruit.                      Alexander Peartree ",Lamarossa,Amastuola 2017 Lamarossa Primitivo (Puglia),$18, Southern Italy,86,Puglia,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Amastuola
348,14%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Aromas of dried cranberry and red cherry meld with hints of tilled earth and violet on the nose. It's light and juicy on the palate, with a mix of tart red and black berry flavors that carry a slight raisinated edge. The acidity is persistent and fresh, keeping everything lifted until the brisk, spicy close.                      Alexander Peartree ",I Muri,Vigneti del Salento 2018 I Muri Primitivo (Puglia),$13, Southern Italy,86,Puglia,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Vigneti del Salento
349,15%,"California, California Other, California, US",750 ml,Red, US,10/1/2020,"
                      This full-bodied wine offers earthy, funky, black peppery aromas followed by good blackberry and strawberry flavors on a rich texture.                      Jim Gordon ",,Tussock Jumper 2018 Zinfandel (California),$14, California,85, California Other,California,Not rated yet [Add Your Review],Zinfandel,2018,Tussock Jumper
350,14.5%,"Lodi, Central Valley, California, US",750 ml,Red, US,10/1/2020,"
                      Earthy and black-peppery aromas lead to mostly oaky flavors of cedar, maple, brown sugar and plums in this full-bodied, and moderately tannic wine.                      Jim Gordon ",The Chelonian,Tortoise Creek 2018 The Chelonian Zinfandel (Lodi),$12, California,85, Central Valley,Lodi,Not rated yet [Add Your Review],Zinfandel,2018,Tortoise Creek
351,15.9%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      This wine is sourced from an estate site planted to 100-year-old vines, with half the parcel head-trained and the other half trained on a high wire, thus the name. Tangy orange peel, cherry and blackberry mesh around a densely layered core. It's complex and rich, but buoyed by bright acidity and a shock of white pepper.                      Virginie Boone ",Highwire Vineyard Old Vine,Hartford 2018 Highwire Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,96, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2018,Hartford
352,14.9%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      Aged in all French oak, 56% of it new, Dina Arata's old-vine site contributes soft supple waves of mocha, coffee and black-cherry-berry flavors. Juicy lengthy tannins and generous oak give it power and substance within a graceful buoyancy and lasting freshness.                      Virginie Boone ",Dina's Vineyard Old Vine,Hartford 2018 Dina's Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,95, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2018,Hartford
353,16%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      From a low-yielding, head-trained vineyard planted more than a century ago, this wine tastes of dried fruit, dust and nutmeg, with a depth of rich black cherry. Leathery texture leads to an elegant length of velvety softness.                      Virginie Boone ",Hartford Vineyard Old Vine,Hartford 2018 Hartford Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,94, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2018,Hartford
